,Age,CustTenure,Channel,Occupation,EducationField,Gender,ExistingProdType,Designation,NumberOfPolicy,MaritalStatus,MonthlyIncome,ExistingPolicyTenure,Zone,PaymentMethod,AgentBonus_Per_Policy,SumAssured_Per_Policy
478,18.0,9.0,Agent,Small Business,Under Graduate,Female,4,Executive,3.0,Unmarried,17044,3.0,West,Yearly,1022.6666666666666,175994
479,13.0,13.0,Agent,Salaried,Post Graduate,Female,3,Executive,2.0,Unmarried,17693,4.0,North,Half Yearly,1681.0,223551
480,27.0,18.0,Agent,Salaried,Graduate,Male,3,Manager,2.0,Divorced,21586,3.0,North,Half Yearly,2266.5,364911
481,20.0,7.0,Agent,Salaried,Graduate,Female,4,Executive,2.0,Single,18294,7.0,North,Yearly,2012.5,287764
482,11.0,6.0,Agent,Salaried,Graduate,Female,3,Manager,3.0,Divorced,19171,1.0,West,Half Yearly,703.0,134964
483,12.0,10.0,Agent,Salaried,Graduate,Female,5,Executive,2.0,Married,17778,4.0,West,Yearly,1244.5,225247
484,6.0,6.0,Agent,Small Business,Under Graduate,Female,3,Executive,3.0,Married,17377,2.0,North,Half Yearly,984.6666666666666,174291
485,4.0,4.0,Agent,Small Business,Under Graduate,Male,3,Executive,5.0,Divorced,17404,2.0,North,Half Yearly,800.6,92067
486,8.0,20.0,Agent,Salaried,Graduate,Female,3,Executive,3.0,Unmarried,17318,2.0,North,Half Yearly,1327.6666666666667,165964
487,24.0,24.0,Agent,Salaried,Graduate,Male,3,Executive,4.0,Married,17008,2.0,West,Half Yearly,1020.5,175994
488,23.0,23.0,Agent,Small Business,Under Graduate,Female,4,Manager,3.0,Single,21244,12.0,North,Yearly,1558.0,246147
489,9.0,1.0,Agent,Salaried,Post Graduate,Male,4,Executive,5.0,Unmarried,17799,1.0,North,Yearly,569.6,82017
490,15.0,15.0,Agent,Large Business,Engineer,Female,4,Senior Manager,4.0,Married,25552,4.0,West,Yearly,766.5,122649
491,7.0,7.0,Agent,Salaried,Graduate,Male,4,Executive,3.0,Divorced,17329,4.0,West,Yearly,1213.0,231688
492,8.0,8.0,Agent,Salaried,Graduate,Female,3,Manager,2.0,Divorced,19014,2.0,West,Half Yearly,1996.5,283498
493,22.0,13.0,Agent,Salaried,Post Graduate,Female,3,Senior Manager,4.0,Divorced,22403,5.0,West,Half Yearly,1120.25,151220
494,12.0,14.0,Agent,Small Business,Under Graduate,Male,3,Executive,3.0,Divorced,17259,1.0,West,Half Yearly,805.3333333333334,84569
495,11.0,17.0,Online,Small Business,Diploma,Female,3,Manager,3.0,Divorced,21932,2.0,West,Half Yearly,950.3333333333334,151111
496,10.0,20.0,Agent,Salaried,Post Graduate,Male,3,Executive,2.0,Single,19678,5.0,North,Half Yearly,2460.0,381261
497,17.0,26.0,Agent,Large Business,Engineer,Female,3,Senior Manager,5.0,Divorced,28582,8.0,North,Half Yearly,857.4,90890
498,10.0,10.0,Online,Salaried,Graduate,Female,4,Executive,4.0,Divorced,17332,2.0,North,Yearly,650.0,84493
499,8.0,8.0,Agent,Small Business,Diploma,Male,4,Executive,4.0,Divorced,17413,4.0,West,Yearly,1001.25,142177
500,16.0,5.0,Agent,Small Business,Diploma,Male,4,Senior Manager,4.0,Married,24705,1.0,North,Yearly,1358.75,186152
501,5.0,19.0,Third Party Partner,Small Business,Under Graduate,Male,4,Manager,5.0,Single,19294,1.0,West,Yearly,926.2,109281
502,24.0,20.0,Agent,Small Business,Under Graduate,Male,3,Executive,5.0,Single,19721,12.0,West,Half Yearly,788.8,137258
503,8.0,8.0,Agent,Small Business,Under Graduate,Male,3,Executive,3.0,Unmarried,17519,1.0,North,Half Yearly,1401.6666666666667,211629
504,5.0,7.0,Agent,Salaried,Post Graduate,Male,4,Executive,4.0,Unmarried,17121,3.0,West,Yearly,599.25,175994
505,9.0,4.0,Agent,Large Business,Engineer,Male,3,Executive,5.0,Unmarried,17973,4.0,West,Half Yearly,862.8,142346
506,17.0,13.0,Agent,Small Business,Under Graduate,Female,3,Manager,2.0,Divorced,20855,3.0,West,Half Yearly,2085.5,337851
507,3.0,3.0,Third Party Partner,Small Business,Under Graduate,Male,3,Executive,4.0,Married,18617,5.0,West,Half Yearly,651.5,95784
508,13.0,2.0,Agent,Small Business,Under Graduate,Female,3,Manager,5.0,Divorced,21725,3.0,North,Half Yearly,434.6,63002
509,16.0,7.0,Agent,Salaried,Graduate,Male,4,Senior Manager,2.0,Divorced,25325,1.0,West,Yearly,1646.0,186012
510,3.0,16.0,Agent,Salaried,Graduate,Female,4,Manager,2.0,Single,21949,1.0,West,Yearly,1646.0,278203
511,6.0,34.0,Agent,Salaried,Graduate,Male,4,Senior Manager,3.0,Divorced,25609,17.0,West,Yearly,1878.0,210335
512,10.0,19.0,Online,Salaried,Graduate,Male,3,Manager,4.0,Divorced,19447,2.0,West,Half Yearly,1215.5,179884
513,9.0,7.0,Third Party Partner,Large Business,Engineer,Female,3,Executive,2.0,Divorced,17157,1.0,West,Half Yearly,858.0,175994
514,15.0,5.0,Agent,Small Business,Under Graduate,Female,3,Manager,3.0,Divorced,19601,7.0,West,Half Yearly,1633.3333333333333,245012
515,5.0,21.0,Agent,Salaried,Graduate,Male,3,AVP,2.0,Divorced,25605,15.0,North,Half Yearly,2568.0,477633
516,9.0,9.0,Agent,Large Business,Engineer,Male,3,Executive,3.0,Unmarried,17479,1.0,West,Half Yearly,990.3333333333334,112914
517,7.0,29.0,Agent,Small Business,Under Graduate,Male,3,AVP,3.0,Married,23988,7.0,West,Half Yearly,2388.0,334342
518,16.0,16.0,Agent,Salaried,Post Graduate,Male,3,Senior Manager,3.0,Married,22264,2.0,North,Half Yearly,1039.0,176627
519,15.0,31.0,Online,Large Business,Engineer,Female,3,Manager,2.0,Single,20666,4.0,West,Half Yearly,2583.5,294490
520,31.0,10.0,Agent,Salaried,Graduate,Male,3,Senior Manager,2.0,Married,22823,3.0,North,Half Yearly,2624.5,280837
521,15.0,18.0,Agent,Salaried,Graduate,Male,1,Senior Manager,3.0,Single,22880,3.0,West,Monthly,1220.3333333333333,191582
522,7.0,14.0,Online,Salaried,Graduate,Female,1,AVP,4.0,Single,28194,18.0,North,Monthly,1762.25,192071
523,3.0,3.0,Third Party Partner,Small Business,Under Graduate,Male,1,Manager,3.0,Married,20067,2.0,North,Monthly,1070.3333333333333,192643
524,7.0,4.0,Online,Large Business,Engineer,Male,3,Manager,2.0,Married,20079,9.0,West,Half Yearly,1807.0,281909
525,9.0,14.0,Online,Small Business,Under Graduate,Male,4,Executive,5.0,Unmarried,17321,4.0,West,Yearly,450.4,58545
526,14.0,7.0,Online,Salaried,Graduate,Male,3,AVP,4.0,Single,32444,7.0,West,Half Yearly,1784.5,272589
527,7.0,7.0,Agent,Salaried,Graduate,Female,4,Executive,5.0,Unmarried,17404,4.0,North,Yearly,696.2,135751
528,3.0,1.0,Agent,Salaried,Graduate,Female,3,Executive,2.0,Single,18452,1.0,West,Half Yearly,1568.5,260357
529,16.0,16.0,Agent,Small Business,Under Graduate,Female,3,Executive,2.0,Married,17270,2.0,North,Half Yearly,1295.5,160611
530,8.0,8.0,Agent,Small Business,Under Graduate,Male,3,AVP,4.0,Married,32399,8.0,North,Half Yearly,1944.0,272589
531,26.0,13.0,Third Party Partner,Salaried,Post Graduate,Female,1,Manager,4.0,Divorced,20488,1.0,West,Monthly,1075.5,165645
532,12.0,12.0,Third Party Partner,Small Business,Under Graduate,Male,3,VP,3.0,Married,34419,12.0,North,Half Yearly,2065.0,388246
533,3.0,10.0,Agent,Large Business,Engineer,Female,3,Executive,4.0,Divorced,17811,10.0,West,Half Yearly,801.5,137055
534,7.0,7.0,Online,Salaried,Graduate,Male,3,Manager,5.0,Divorced,18633,1.0,West,Half Yearly,447.2,66631
535,7.0,7.0,Agent,Salaried,Graduate,Female,3,Manager,2.0,Single,19163,1.0,West,Half Yearly,1724.5,329412
536,2.0,14.0,Agent,Salaried,Graduate,Female,3,Executive,3.0,Divorced,17132,2.0,West,Half Yearly,799.3333333333334,175994
537,17.0,22.0,Agent,Salaried,Graduate,Male,3,AVP,3.0,Divorced,28973,2.0,North,Half Yearly,1448.6666666666667,173838
538,13.0,13.0,Third Party Partner,Small Business,Under Graduate,Male,3,Executive,3.0,Divorced,17684,9.0,North,Half Yearly,1473.6666666666667,187155
539,16.0,9.0,Agent,Small Business,Under Graduate,Male,3,Senior Manager,3.0,Married,25845,8.0,North,Half Yearly,1033.6666666666667,178847
540,16.0,16.0,Agent,Small Business,Under Graduate,Female,4,Manager,3.0,Married,19377,6.0,West,Yearly,1098.0,177881
541,7.0,3.0,Agent,Salaried,Post Graduate,Male,4,Executive,4.0,Married,18743,3.0,West,Yearly,843.5,143384
542,21.0,25.0,Third Party Partner,Salaried,Graduate,Female,3,Manager,5.0,Divorced,19148,13.0,North,Half Yearly,842.6,157549
543,3.0,3.0,Online,Salaried,Graduate,Male,3,Executive,2.0,Single,16051,3.0,North,Half Yearly,802.5,84268
544,17.0,3.0,Agent,Large Business,Engineer,Female,3,Senior Manager,3.0,Divorced,25739,1.0,West,Half Yearly,1115.3333333333333,209687
545,21.0,21.0,Agent,Small Business,Under Graduate,Female,3,Senior Manager,3.0,Married,25388,1.0,West,Half Yearly,1184.6666666666667,169422
546,9.0,15.0,Agent,Salaried,Graduate,Female,1,Senior Manager,5.0,Divorced,26416,2.0,North,Monthly,581.2,93565
547,3.0,3.0,Agent,Small Business,Under Graduate,Female,4,Executive,5.0,Unmarried,17600,1.0,North,Yearly,633.6,109612
548,11.0,11.0,Third Party Partner,Small Business,Under Graduate,Female,3,Executive,4.0,Unmarried,17422,1.0,West,Half Yearly,566.25,84932
549,7.0,18.0,Agent,Small Business,Under Graduate,Male,1,Manager,2.0,Divorced,20472,1.0,West,Monthly,1842.5,210042
550,6.0,6.0,Agent,Salaried,Graduate,Male,5,Executive,5.0,Divorced,17451,1.0,North,Yearly,558.4,72037
551,8.0,5.0,Agent,Salaried,Graduate,Male,4,Manager,3.0,Single,19240,1.0,North,Yearly,833.6666666666666,160910
552,11.0,7.0,Agent,Salaried,Graduate,Male,4,Senior Manager,3.0,Single,25999,4.0,North,Yearly,1213.3333333333333,124968
553,29.0,24.0,Agent,Small Business,Under Graduate,Female,3,Manager,3.0,Single,20003,1.0,West,Half Yearly,1600.3333333333333,265640
554,22.0,27.0,Agent,Salaried,Graduate,Female,4,AVP,2.0,Divorced,27742,2.0,North,Yearly,2219.5,241910
555,9.0,9.0,Agent,Salaried,Graduate,Female,3,Manager,2.0,Divorced,19227,5.0,West,Half Yearly,2307.0,452219
556,5.0,15.0,Agent,Salaried,Post Graduate,Male,3,Executive,2.0,Married,18917,1.0,West,Half Yearly,1229.5,215181
557,24.0,20.0,Agent,Small Business,Diploma,Male,3,VP,3.0,Divorced,33303,20.0,West,Half Yearly,1332.0,217135
558,8.0,8.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Divorced,17380,8.0,North,Half Yearly,2085.5,369151
559,31.0,5.0,Agent,Salaried,Graduate,Female,4,AVP,2.0,Single,28726,4.0,North,Yearly,2585.5,475702
560,26.0,13.0,Agent,Small Business,Under Graduate,Female,5,Manager,4.0,Divorced,19777,8.0,North,Yearly,1087.75,178388
561,10.0,10.0,Third Party Partner,Small Business,Under Graduate,Male,3,Manager,4.0,Divorced,21385,2.0,North,Half Yearly,1229.75,188134
562,35.0,35.0,Online,Salaried,Graduate,Female,5,VP,3.0,Married,34973,5.0,West,Yearly,2914.3333333333335,472135
563,7.0,22.0,Agent,Salaried,Graduate,Male,3,Manager,2.0,Single,21861,6.0,West,Half Yearly,1858.0,349339
564,4.0,9.0,Online,Small Business,Under Graduate,Male,5,Manager,5.0,Single,19969,2.0,North,Yearly,439.4,75123
565,23.0,14.0,Agent,Small Business,Diploma,Female,5,VP,2.0,Divorced,34845,14.0,West,Yearly,2265.0,344268
566,18.0,14.0,Agent,Small Business,Under Graduate,Female,1,AVP,2.0,Divorced,28320,9.0,West,Monthly,2265.5,323981
567,24.0,24.0,Online,Salaried,Graduate,Female,3,Manager,3.0,Divorced,21347,12.0,North,Half Yearly,1352.0,173053
568,15.0,15.0,Agent,Salaried,Graduate,Female,1,Executive,5.0,Unmarried,17743,3.0,West,Monthly,745.2,95386
569,20.0,3.0,Third Party Partner,Small Business,Under Graduate,Female,3,Senior Manager,5.0,Single,25880,10.0,West,Half Yearly,672.8,126501
570,7.0,7.0,Online,Salaried,Graduate,Female,4,Executive,2.0,Unmarried,17342,1.0,West,Yearly,1647.5,233943
571,27.0,18.0,Agent,Salaried,Graduate,Female,3,AVP,4.0,Divorced,32650,18.0,West,Half Yearly,1142.75,272589
572,17.0,9.0,Online,Small Business,Under Graduate,Female,3,Executive,3.0,Single,19025,4.0,North,Half Yearly,951.3333333333334,109393
573,14.0,21.0,Agent,Small Business,Diploma,Male,1,Manager,2.0,Married,24725,2.0,North,Monthly,1731.0,247497
574,3.0,6.0,Agent,Large Business,Engineer,Male,3,Senior Manager,2.0,Divorced,26904,2.0,North,Half Yearly,1614.0,300248
575,20.0,16.0,Agent,Small Business,Under Graduate,Male,3,Executive,4.0,Unmarried,17177,1.0,West,Half Yearly,816.0,175994
576,14.0,3.0,Third Party Partner,Small Business,Diploma,Female,4,Senior Manager,4.0,Divorced,22525,5.0,West,Yearly,675.75,83793
577,10.0,17.0,Agent,Salaried,Post Graduate,Male,3,Manager,3.0,Married,19834,4.0,West,Half Yearly,1124.0,219165
578,3.0,6.0,Third Party Partner,Salaried,Graduate,Male,3,Executive,5.0,Divorced,17042,1.0,West,Half Yearly,579.4,175994
579,4.0,4.0,Agent,Salaried,Graduate,Female,3,Executive,3.0,Divorced,17220,2.0,West,Half Yearly,1262.6666666666667,175994
580,4.0,9.0,Agent,Small Business,Under Graduate,Male,3,Executive,4.0,Divorced,16052,7.0,North,Half Yearly,561.75,76969
581,16.0,10.0,Third Party Partner,Salaried,Post Graduate,Male,3,Executive,3.0,Divorced,17821,10.0,West,Half Yearly,1366.3333333333333,153023
582,31.0,26.0,Agent,Small Business,Under Graduate,Male,3,VP,3.0,Divorced,34237,26.0,North,Half Yearly,1712.0,320116
583,10.0,12.0,Agent,Salaried,Post Graduate,Female,3,Manager,4.0,Single,19107,1.0,West,Half Yearly,621.0,67686
584,12.0,35.0,Agent,Small Business,Diploma,Male,3,Manager,5.0,Divorced,23396,9.0,North,Half Yearly,1169.8,228111
585,22.0,7.0,Third Party Partner,Small Business,Under Graduate,Female,4,Executive,3.0,Married,17007,7.0,North,Yearly,1247.3333333333333,175994
586,21.0,28.0,Agent,Small Business,Under Graduate,Male,3,VP,2.0,Married,34627,28.0,West,Half Yearly,3462.5,692540
587,32.0,19.0,Agent,Salaried,Graduate,Female,4,Senior Manager,3.0,Divorced,25686,16.0,West,Yearly,2140.6666666666665,303951
588,23.0,4.0,Third Party Partner,Small Business,Under Graduate,Female,3,Executive,3.0,Divorced,17942,4.0,North,Half Yearly,1256.0,192158
589,18.0,4.0,Agent,Small Business,Under Graduate,Female,4,Senior Manager,2.0,Single,23858,3.0,West,Yearly,1789.5,223669
590,17.0,10.0,Online,Small Business,Under Graduate,Male,4,AVP,5.0,Single,19211,3.0,West,Yearly,698.6,92219
591,23.0,5.0,Agent,Small Business,Under Graduate,Male,4,Senior Manager,2.0,Married,25798,4.0,North,Yearly,2322.0,357560
592,3.0,3.0,Third Party Partner,Small Business,Diploma,Female,3,Executive,2.0,Unmarried,17323,3.0,West,Half Yearly,1732.5,232128
593,9.0,12.0,Agent,Salaried,Graduate,Female,4,Executive,5.0,Single,16416,1.0,West,Yearly,623.8,174989
594,21.0,21.0,Agent,Salaried,Graduate,Female,4,Manager,5.0,Married,19615,2.0,North,Yearly,823.8,99683
595,21.0,21.0,Agent,Salaried,Graduate,Male,3,Executive,3.0,Divorced,17461,2.0,West,Half Yearly,1164.0,165297
596,28.0,28.0,Online,Large Business,Engineer,Male,4,Senior Manager,5.0,Single,23722,11.0,North,Yearly,948.8,138536
597,5.0,5.0,Agent,Small Business,Under Graduate,Male,4,Executive,5.0,Divorced,18955,1.0,West,Yearly,492.8,61603
598,24.0,36.0,Agent,Salaried,Post Graduate,Male,3,Manager,5.0,Divorced,24957,1.0,West,Half Yearly,1198.0,233597
599,23.0,11.0,Agent,Large Business,Engineer,Female,1,Executive,3.0,Divorced,18376,11.0,West,Monthly,1531.3333333333333,160790
600,9.0,14.0,Agent,Salaried,Graduate,Female,4,Senior Manager,3.0,Divorced,23823,3.0,North,Yearly,1508.6666666666667,268564
601,10.0,8.0,Agent,Large Business,Engineer,Male,3,Senior Manager,2.0,Divorced,25322,4.0,North,Half Yearly,1266.0,134206
602,4.0,8.0,Online,Salaried,Graduate,Male,5,Executive,3.0,Divorced,19621,2.0,West,Yearly,1373.3333333333333,269200
603,4.0,4.0,Third Party Partner,Salaried,Graduate,Male,3,Senior Manager,4.0,Divorced,25976,2.0,North,Half Yearly,1039.0,146504
604,7.0,5.0,Agent,Salaried,Post Graduate,Female,3,Manager,3.0,Single,18660,3.0,West,Half Yearly,808.6666666666666,101883
605,13.0,3.0,Agent,Small Business,Under Graduate,Male,4,Senior Manager,5.0,Divorced,25482,2.0,North,Yearly,509.6,97341
606,4.0,9.0,Agent,Salaried,Graduate,Male,4,Senior Manager,2.0,Married,22119,2.0,West,Yearly,2212.0,367175
607,11.0,27.0,Agent,Large Business,Engineer,Male,3,Senior Manager,5.0,Single,24582,3.0,West,Half Yearly,1081.6,116813
608,12.0,2.0,Third Party Partner,Small Business,Under Graduate,Female,4,Manager,3.0,Single,19508,1.0,West,Yearly,650.3333333333334,89086
609,12.0,10.0,Agent,Salaried,Graduate,Male,3,Executive,3.0,Married,17207,2.0,West,Half Yearly,688.3333333333334,175994
610,11.0,23.0,Third Party Partner,Salaried,Graduate,Male,3,Manager,2.0,Single,22756,1.0,West,Half Yearly,2844.5,392541
611,24.0,5.0,Agent,Salaried,Graduate,Female,4,Manager,2.0,Married,21694,4.0,West,Yearly,2386.5,319769
612,16.0,12.0,Agent,Large Business,Engineer,Male,3,Executive,2.0,Divorced,18691,12.0,West,Half Yearly,2056.0,396810
613,6.0,6.0,Agent,Small Business,Under Graduate,Male,3,Executive,3.0,Married,17377,4.0,West,Half Yearly,984.6666666666666,112255
614,6.0,4.0,Agent,Small Business,Under Graduate,Male,4,Executive,4.0,Unmarried,17313,5.0,West,Yearly,476.0,77129
615,34.0,27.0,Agent,Small Business,Under Graduate,Male,3,AVP,4.0,Divorced,32665,27.0,West,Half Yearly,1715.0,272589
616,7.0,7.0,Third Party Partner,Small Business,Under Graduate,Male,4,Executive,4.0,Married,17596,6.0,West,Yearly,615.75,107159
617,2.0,2.0,Third Party Partner,Salaried,Post Graduate,Male,3,Manager,3.0,Single,19728,1.0,West,Half Yearly,657.6666666666666,105216
618,6.0,12.0,Third Party Partner,Salaried,Graduate,Female,3,Manager,4.0,Divorced,19302,3.0,East,Half Yearly,723.75,137526
619,4.0,5.0,Online,Salaried,Graduate,Male,4,Executive,2.0,Divorced,17979,5.0,West,Yearly,1977.5,292698
620,42.0,7.0,Online,Small Business,Under Graduate,Male,1,AVP,2.0,Single,24600,8.0,West,Monthly,3507.5,427896
621,9.0,23.0,Online,Salaried,Graduate,Female,4,Manager,3.0,Divorced,20593,1.0,North,Yearly,1510.0,209911
622,32.0,27.0,Agent,Salaried,Graduate,Male,3,Senior Manager,4.0,Single,25445,2.0,West,Half Yearly,1335.75,191028
623,10.0,5.0,Agent,Small Business,Diploma,Male,4,Senior Manager,3.0,Married,23740,1.0,North,Yearly,870.3333333333334,133181
624,19.0,19.0,Agent,Salaried,Graduate,Female,3,Executive,2.0,Married,17514,4.0,North,Half Yearly,1926.5,381455
625,27.0,9.0,Agent,Small Business,Under Graduate,Female,3,Senior Manager,4.0,Married,22655,2.0,North,Half Yearly,1132.75,202762
626,39.0,16.0,Agent,Small Business,Diploma,Male,3,AVP,4.0,Divorced,32465,16.0,West,Half Yearly,1948.0,272589
627,13.0,4.0,Agent,Small Business,Diploma,Male,3,Senior Manager,4.0,Single,22351,1.0,West,Half Yearly,1061.75,165621
628,12.0,15.0,Third Party Partner,Salaried,Graduate,Female,3,Senior Manager,5.0,Divorced,25820,3.0,West,Half Yearly,619.6,112162
629,27.0,34.0,Third Party Partner,Salaried,Graduate,Male,3,AVP,2.0,Married,27169,1.0,West,Half Yearly,3396.0,499230
630,13.0,7.0,Agent,Small Business,Under Graduate,Male,4,VP,3.0,Single,34626,7.0,West,Yearly,2193.0,331140
631,10.0,3.0,Agent,Large Business,Engineer,Female,4,Executive,4.0,Unmarried,17070,1.0,North,Yearly,426.75,175994
632,4.0,7.0,Online,Salaried,Graduate,Male,3,Manager,4.0,Single,21782,1.0,North,Half Yearly,925.75,96276
633,16.0,10.0,Online,Salaried,Graduate,Male,3,Manager,2.0,Single,22779,3.0,North,Half Yearly,2619.5,269817
634,23.0,2.0,Third Party Partner,Salaried,Graduate,Male,1,Executive,2.0,Divorced,17791,2.0,North,Monthly,1957.0,371832
635,15.0,7.0,Agent,Salaried,Graduate,Male,4,Executive,4.0,Divorced,18201,7.0,North,Yearly,910.0,148338
636,9.0,18.0,Third Party Partner,Small Business,Diploma,Male,3,Manager,2.0,Married,19968,6.0,West,Half Yearly,2296.5,445486
637,14.0,35.0,Agent,Large Business,Engineer,Male,4,AVP,4.0,Divorced,28120,6.0,West,Yearly,1757.5,203870
638,8.0,4.0,Third Party Partner,Salaried,Graduate,Male,3,Manager,3.0,Single,19033,1.0,North,Half Yearly,634.3333333333334,83745
639,3.0,2.0,Third Party Partner,Salaried,Graduate,Female,3,Executive,4.0,Married,18291,2.0,North,Half Yearly,868.75,89488
640,10.0,6.0,Agent,Small Business,Under Graduate,Male,5,Manager,2.0,Single,19272,6.0,West,Yearly,963.5,109850
641,20.0,14.0,Agent,Small Business,Under Graduate,Male,4,Manager,2.0,Divorced,20056,1.0,North,Yearly,1705.0,219914
642,25.0,1.0,Agent,Salaried,MBA,Male,1,Executive,3.0,Divorced,17844,1.0,West,Monthly,1368.0,239407
643,24.0,24.0,Third Party Partner,Salaried,Graduate,Male,4,Executive,3.0,Married,17703,5.0,West,Yearly,1357.3333333333333,199512
644,6.0,4.0,Online,Small Business,Under Graduate,Male,3,Executive,3.0,Unmarried,16904,1.0,North,Half Yearly,676.0,172111
645,12.0,29.0,Agent,Small Business,Diploma,Female,3,Manager,5.0,Single,23224,7.0,North,Half Yearly,1161.2,199726
646,23.0,5.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Divorced,19766,9.0,West,Half Yearly,2273.0,327325
647,16.0,16.0,Third Party Partner,Small Business,Under Graduate,Male,3,Executive,3.0,Divorced,17610,1.0,North,Half Yearly,880.6666666666666,92452
648,10.0,25.0,Agent,Small Business,Under Graduate,Female,4,Manager,2.0,Married,20731,3.0,West,Yearly,2487.5,475154
649,4.0,4.0,Agent,Salaried,Graduate,Male,4,Executive,3.0,Divorced,17539,3.0,West,Yearly,584.6666666666666,66648
650,26.0,31.0,Agent,Salaried,Graduate,Female,3,Manager,3.0,Divorced,20714,6.0,North,Half Yearly,1726.3333333333333,250294
651,21.0,9.0,Agent,Large Business,Engineer,Male,3,Executive,3.0,Single,19323,1.0,North,Half Yearly,1417.0,236642
652,7.0,12.0,Agent,Salaried,Graduate,Female,4,Senior Manager,5.0,Divorced,22336,4.0,West,Yearly,491.4,64863
653,29.0,24.0,Third Party Partner,Small Business,Under Graduate,Female,3,Senior Manager,3.0,Single,28499,6.0,West,Half Yearly,1615.0,295534
654,31.0,16.0,Third Party Partner,Salaried,Graduate,Male,3,AVP,5.0,Single,28758,2.0,West,Half Yearly,1035.2,116987
655,24.0,12.0,Agent,Small Business,Diploma,Male,3,Manager,5.0,Single,20155,8.0,West,Half Yearly,806.2,142697
656,6.0,8.0,Agent,Small Business,Under Graduate,Male,4,Executive,3.0,Divorced,17258,1.0,West,Yearly,632.6666666666666,65177
657,10.0,10.0,Agent,Small Business,Under Graduate,Male,3,Executive,4.0,Single,18597,4.0,West,Half Yearly,836.75,112140
658,4.0,4.0,Agent,Salaried,Graduate,Female,3,Executive,2.0,Divorced,17515,1.0,North,Half Yearly,1051.0,198620
659,19.0,24.0,Agent,Small Business,Under Graduate,Male,1,Executive,2.0,Divorced,19420,4.0,West,Monthly,2427.5,310720
660,9.0,2.0,Agent,Small Business,Diploma,Male,4,Manager,3.0,Divorced,21578,4.0,North,Yearly,791.3333333333334,90987
661,14.0,12.0,Third Party Partner,Small Business,Under Graduate,Female,4,Manager,2.0,Divorced,19422,1.0,North,Yearly,1165.5,117697
662,33.0,28.0,Agent,Salaried,Graduate,Male,4,Senior Manager,4.0,Married,25274,9.0,West,Yearly,1390.0,143177
663,20.0,20.0,Third Party Partner,Small Business,Under Graduate,Male,4,Manager,5.0,Single,20343,10.0,North,Yearly,651.0,87230
664,4.0,4.0,Third Party Partner,Salaried,Post Graduate,Male,4,Executive,2.0,Divorced,17376,2.0,West,Yearly,955.5,161510
665,10.0,17.0,Agent,Small Business,Diploma,Female,5,Manager,3.0,Single,20346,3.0,West,Yearly,1153.0,162564
666,8.0,1.0,Online,Salaried,Graduate,Female,3,Executive,5.0,Married,17827,1.0,North,Half Yearly,534.8,72199
667,38.0,31.0,Agent,Large Business,Engineer,Female,3,VP,5.0,Married,34943,9.0,North,Half Yearly,1537.4,290586
668,22.0,4.0,Agent,Small Business,Under Graduate,Female,3,Executive,2.0,Divorced,18131,4.0,West,Half Yearly,1813.0,255647
669,18.0,18.0,Agent,Salaried,Graduate,Male,3,Executive,5.0,Unmarried,17552,4.0,West,Half Yearly,737.2,120898
670,14.0,14.0,Agent,Small Business,Under Graduate,Female,3,Executive,3.0,Divorced,19477,4.0,West,Half Yearly,1168.6666666666667,172955
671,8.0,20.0,Agent,Salaried,Graduate,Female,4,Manager,2.0,Divorced,21474,4.0,West,Yearly,2040.0,324365
672,23.0,5.0,Agent,Salaried,Graduate,Male,4,Executive,3.0,Single,18033,5.0,West,Yearly,1262.3333333333333,164100
673,3.0,1.0,Agent,Salaried,Graduate,Male,3,Executive,3.0,Unmarried,17936,1.0,North,Half Yearly,837.0,106300
674,27.0,16.0,Agent,Small Business,Under Graduate,Female,3,VP,3.0,Married,33606,16.0,West,Half Yearly,1792.3333333333333,243755
675,20.0,20.0,Agent,Salaried,Graduate,Female,5,Executive,2.0,Divorced,17168,6.0,North,Yearly,1974.5,175994
676,2.0,1.0,Third Party Partner,Salaried,Graduate,Male,4,Executive,2.0,Divorced,17853,1.0,West,Yearly,982.0,157106
677,3.0,6.0,Agent,Small Business,Diploma,Female,3,AVP,5.0,Divorced,22713,6.0,North,Half Yearly,641.0,83324
678,15.0,6.0,Online,Salaried,Graduate,Male,5,Executive,3.0,Unmarried,17290,2.0,North,Yearly,979.6666666666666,165580
679,12.0,7.0,Agent,Salaried,MBA,Male,3,Executive,3.0,Divorced,18600,1.0,West,Half Yearly,806.0,124124
680,7.0,4.0,Online,Salaried,Graduate,Male,4,Executive,5.0,Married,17107,2.0,North,Yearly,444.8,175994
681,13.0,25.0,Agent,Salaried,Graduate,Male,3,Manager,5.0,Married,19115,3.0,North,Half Yearly,841.0,128682
682,6.0,9.0,Third Party Partner,Small Business,Under Graduate,Male,3,Manager,4.0,Divorced,19327,1.0,North,Half Yearly,773.0,115962
683,23.0,9.0,Third Party Partner,Small Business,Under Graduate,Female,3,AVP,4.0,Divorced,32856,9.0,East,Half Yearly,1150.0,272589
684,4.0,4.0,Agent,Small Business,Under Graduate,Male,4,Executive,5.0,Divorced,18196,4.0,North,Yearly,436.8,80353
685,4.0,25.0,Agent,Salaried,Graduate,Male,3,VP,4.0,Divorced,34081,25.0,West,Half Yearly,1022.5,154387
